Customer_ID,Age,Gender,Category,Product,Purchase_Amount,Quantity,Discount_Applied,Subscription_Status,Payment_Method,Purchase_Date,Location,Review_Rating
C00293,27,Male,Clothing,Jeans,588.93,5,No,Active,Credit Card,2024-05-07,Jaipur,3.7
C01432,33,Male,Sports,Cricket Bat,2127.15,1,Yes,Inactive,UPI,2024-05-01,Jaipur,3.5
C00911,25,Female,Sports,Football,4465.02,1,Yes,Active,UPI,2025-08-19,Chandigarh,4.3
C00576,36,Female,Books,Self-Help,1143.97,3,No,Active,UPI,2024-10-01,Pune,4.4
C00663,34,Female,Clothing,Sneakers,4224.41,2,Yes,Inactive,Wallet,2024-04-20,Jaipur,4.3
C00651,23,Male,Sports,Cricket Bat,5140.58,5,No,Active,UPI,2025-02-26,Bengaluru,4.4
C01383,22,Female,Electronics,Laptop,52536.89,2,No,Active,Credit Card,2024-03-27,Pune,4.4
C01732,54,Male,Sports,Running Shoes,10850.75,1,No,Inactive,Debit Card,2024-02-22,Mumbai,4.6
C01938,64,Male,Beauty,Perfume,1119.41,3,No,Inactive,Credit Card,2024-06-18,Delhi,2.9
C01635,25,Female,Clothing,Jacket,3838.32,2,No,Inactive,Net Banking,2024-11-28,Jaipur,4.0
C00253,43,Male,Electronics,Speaker,9377.62,3,No,Active,Cash,2025-11-13,Jaipur,3.8
C00502,44,Male,Sports,Cricket Bat,1220.31,2,No,Active,UPI,2025-11-09,Ahmedabad,4.3
C01720,47,Female,Beauty,Skin Serum,3106.71,3,No,Inactive,Net Banking,2024-11-22,Kolkata,3.9
C01868,45,Female,Beauty,Perfume,2591.99,4,Yes,Active,Debit Card,2024-01-07,Ahmedabad,5.0
C00475,40,Male,Clothing,Dress,4829.92,2,Yes,Active,Net Banking,2025-10-08,Bengaluru,4.3
C01683,64,Female,Electronics,Smartphone,39557.7,4,No,Active,UPI,2025-03-14,Pune,3.9
C00425,56,Female,Electronics,Speaker,79399.68,1,Yes,Inactive,Debit Card,2025-07-05,Mumbai,3.6
C01697,23,Female,Home & Kitchen,Bedsheet,4400.18,2,No,Active,Debit Card,2024-01-29,Pune,4.8
C00994,32,Female,Books,Technology,1407.92,1,No,Inactive,UPI,2025-06-21,Hyderabad,4.1
C00587,26,Female,Home & Kitchen,Lamp,803.46,3,No,Inactive,Debit Card,2024-03-08,Mumbai,3.7
C00305,35,Male,Electronics,Smartphone,20782.64,2,Yes,Inactive,Net Banking,2025-07-09,Ahmedabad,4.0
C00162,50,Female,Electronics,Smartphone,17739.75,2,No,Inactive,Debit Card,2024-02-05,Chennai,4.0
C01535,18,Male,Sports,Dumbbells,4494.12,2,No,Inactive,Debit Card,2024-10-12,Chennai,4.5
C01050,64,Male,Home & Kitchen,Lamp,6961.43,2,No,Active,Credit Card,2024-12-25,Delhi,3.9
C01132,32,Other,Beauty,Face Cream,4756.29,1,No,Inactive,UPI,2024-09-17,Pune,
C01661,57,Female,Sports,Dumbbells,7029.2,2,No,Inactive,UPI,2024-05-26,Kolkata,3.9
C00666,59,Male,Home & Kitchen,Cookware,11541.9,3,No,Active,Debit Card,2025-09-11,Chennai,4.5
C01288,30,Male,Beauty,Face Cream,1966.03,2,No,Active,UPI,2024-07-29,Chennai,4.0
C00288,33,Female,Home & Kitchen,Bedsheet,382.57,3,No,Inactive,UPI,2025-12-29,Jaipur,4.2
C00346,32,Male,Electronics,Smartwatch,28135.24,4,No,Active,Debit Card,2024-02-27,Chennai,4.5
C01405,35,Female,Electronics,Smartphone,56198.16,3,No,Inactive,Credit Card,2024-11-07,Pune,2.1
C00151,35,Male,Home & Kitchen,Storage Box,9609.55,1,No,Active,Wallet,2024-09-22,Ahmedabad,4.2
C01887,59,Female,Clothing,T-Shirt,4689.6,1,Yes,Inactive,UPI,2024-07-17,Ahmedabad,3.4
C00823,37,Male,Sports,Dumbbells,881.14,1,Yes,Inactive,UPI,2024-10-23,Hyderabad,3.6
C01811,44,Female,Sports,Football,7517.6,2,No,Active,Credit Card,2024-12-01,Chandigarh,
C01940,30,Male,Books,Fiction,684.29,3,Yes,Inactive,Credit Card,2025-12-05,Jaipur,4.7
C01363,53,Female,Beauty,Face Cream,3572.66,4,Yes,Inactive,Debit Card,2025-05-26,Chandigarh,2.6
C00622,44,Female,Electronics,Smartphone,1651.95,3,No,Active,UPI,2024-04-11,Jaipur,2.4
C01668,40,Female,Electronics,Speaker,54497.57,1,Yes,Active,Wallet,2024-01-17,Jaipur,3.1
C00610,27,Other,Books,Self-Help,370.74,5,No,Inactive,UPI,2025-03-02,Chandigarh,5.0
C00265,46,Female,Sports,Football,7311.42,1,No,Active,Credit Card,2025-10-21,Bengaluru,5.0
C00652,20,Male,Sports,Yoga Mat,6419.3,1,Yes,Inactive,Credit Card,2024-06-01,Bengaluru,3.4
C01679,60,Female,Home & Kitchen,Bedsheet,3778.89,1,Yes,Active,Debit Card,2024-12-01,Jaipur,4.0
C01948,34,Female,Clothing,Jeans,618.17,2,Yes,Active,Net Banking,2025-12-24,Mumbai,4.5
C01388,62,Male,Books,Self-Help,1495.18,3,Yes,Inactive,Debit Card,2025-03-13,Chennai,3.7
C01340,22,Female,Clothing,Dress,1551.31,3,Yes,Active,Net Banking,2024-12-06,Mumbai,4.3
C01379,38,Male,Clothing,Jacket,934.75,2,No,Active,Credit Card,2025-03-01,Jaipur,3.7
C00113,52,Male,Books,Comics,742.01,1,Yes,Inactive,Cash,2025-11-27,Hyderabad,4.5
C00620,61,Female,Home & Kitchen,Lamp,1727.34,2,Yes,Inactive,Wallet,2025-09-21,Chennai,4.4
C01895,31,Female,Clothing,Jacket,1470.51,1,Yes,Active,UPI,2024-07-10,Mumbai,5.0
C01977,58,Female,Clothing,Sneakers,4880.34,2,No,Inactive,Wallet,2025-03-06,Bengaluru,3.8
C01325,45,Female,Beauty,Perfume,1705.66,1,No,Inactive,UPI,2024-03-12,Delhi,3.7
C01326,25,Female,Electronics,Smartwatch,74175.13,4,No,Inactive,Debit Card,2024-08-29,Pune,4.4
C01650,52,Female,Home & Kitchen,Storage Box,7715.93,2,No,Inactive,Wallet,2024-11-23,Ahmedabad,3.2
C00067,18,Female,Clothing,Jeans,694.29,1,Yes,Inactive,Credit Card,2025-12-26,Hyderabad,3.0
C01677,46,Male,Clothing,Jacket,542.69,1,Yes,Active,UPI,2024-06-23,Bengaluru,3.4
C01265,56,Male,Beauty,Lipstick,3179.94,3,Yes,Inactive,Net Banking,2024-04-10,Hyderabad,4.0
C00305,63,Female,Electronics,Headphones,79372.27,1,No,Inactive,Debit Card,2025-01-13,Jaipur,3.7
C00141,44,Female,Sports,Football,8442.24,2,No,Active,Debit Card,2025-04-04,Jaipur,5.0
C00857,53,Male,Clothing,Dress,3199.0,3,Yes,Inactive,Credit Card,2025-08-02,Bengaluru,4.7
C01320,38,Male,Books,Technology,403.39,2,No,Inactive,UPI,2024-06-24,Jaipur,4.7
C01633,28,Male,Sports,Football,9557.82,5,Yes,Inactive,Debit Card,2025-05-21,Hyderabad,3.2
C00001,59,Male,Home & Kitchen,Coffee Maker,7070.49,3,No,Inactive,Credit Card,2025-09-21,Delhi,4.0
C00727,55,Female,Books,Self-Help,1677.4,2,Yes,Inactive,Cash,2025-09-19,Ahmedabad,4.7
C00664,26,Male,Books,Technology,494.34,2,No,Inactive,UPI,2024-06-05,Bengaluru,3.4
C01046,65,Other,Electronics,Speaker,35129.69,1,No,Active,UPI,2025-02-08,Chennai,5.0
C00224,38,Male,Sports,Cricket Bat,7814.05,1,No,Inactive,Wallet,2024-06-29,Chandigarh,4.6
C01341,33,Female,Beauty,Skin Serum,2560.29,4,No,Active,Debit Card,2025-12-18,Delhi,5.0
C01052,32,Male,Sports,Dumbbells,870.68,1,No,Active,Wallet,2025-02-05,Hyderabad,5.0
C01572,32,Male,Clothing,Jacket,508.41,1,Yes,Inactive,UPI,2024-03-18,Hyderabad,4.0
C01255,47,Female,Clothing,Jacket,2841.49,3,No,Active,Credit Card,2025-04-27,Kolkata,5.0
C01037,48,Male,Clothing,T-Shirt,4438.79,3,No,Active,Net Banking,2024-12-12,Kolkata,4.2
C00495,29,Female,Electronics,Speaker,81292.29,1,No,Active,Net Banking,2025-07-15,Pune,3.1
C01258,19,Female,Clothing,Sneakers,2446.4,1,Yes,Active,Cash,2025-07-10,Chandigarh,3.5
C00216,20,Female,Electronics,Speaker,4494.71,2,No,Active,Cash,2024-02-13,Delhi,3.8
C00455,56,Female,Beauty,Skin Serum,2466.54,1,No,Inactive,Credit Card,2024-12-18,Jaipur,3.2
C01939,41,Female,Electronics,Speaker,33251.98,3,No,Active,Wallet,2025-11-19,Delhi,5.0
C00663,29,Male,Electronics,Headphones,54345.75,2,Yes,Inactive,Net Banking,2024-09-26,Pune,4.1
C01251,39,Female,Sports,Cricket Bat,7472.71,3,No,Inactive,UPI,2024-09-04,Jaipur,3.1
C00740,34,Female,Home & Kitchen,Bedsheet,13488.76,4,Yes,Active,Net Banking,2024-03-15,Chandigarh,4.6
C00471,55,Male,Sports,Football,7136.47,2,No,Active,UPI,2024-05-10,Kolkata,3.9
C01538,30,Male,Electronics,Headphones,55956.5,2,No,Active,Credit Card,2025-03-10,Delhi,4.9
C01130,24,Female,Home & Kitchen,Coffee Maker,11626.49,1,No,Inactive,Debit Card,2024-09-13,Mumbai,3.3
C01367,32,Female,Sports,Dumbbells,10129.55,3,No,Active,Credit Card,2025-01-26,Chennai,2.6
C01405,20,Female,Electronics,Smartwatch,34614.43,1,No,Inactive,Credit Card,2025-12-05,Pune,3.3
C01425,18,Male,Electronics,Smartphone,74204.32,2,Yes,Active,UPI,2024-08-20,Pune,5.0
C00978,47,Female,Home & Kitchen,Bedsheet,809.1,1,Yes,Inactive,Net Banking,2025-07-30,Mumbai,5.0
C01031,47,Female,Sports,Cricket Bat,8192.41,2,No,Active,Credit Card,2024-03-01,Chennai,3.9
C01815,45,Female,Beauty,Face Cream,2883.54,1,No,Active,Debit Card,2024-01-27,Pune,3.4
C00139,33,Male,Clothing,Dress,1206.2,2,No,Inactive,Net Banking,2025-09-25,Ahmedabad,3.7
C00279,41,Female,Clothing,T-Shirt,862.86,4,No,Inactive,Cash,2024-07-27,Pune,3.5
C00881,61,Female,Home & Kitchen,Storage Box,3874.06,1,Yes,Active,Cash,2024-01-16,Chennai,3.7
C00553,38,Female,Electronics,Smartphone,69778.47,3,Yes,Inactive,Debit Card,2024-08-24,Chennai,3.7
C01277,49,Female,Clothing,Jeans,1962.14,4,Yes,Active,UPI,2025-08-12,Chennai,3.8
C01712,30,Female,Clothing,Jeans,3870.2,2,No,Inactive,Debit Card,2024-05-11,Kolkata,4.4
C01765,19,Male,Sports,Cricket Bat,10314.84,1,No,Inactive,Debit Card,2025-11-30,Delhi,4.2
C00268,42,Female,Clothing,Jeans,2094.77,2,No,Inactive,Debit Card,2025-02-21,Chandigarh,2.3
C01952,61,Female,Clothing,Sneakers,1897.91,1,Yes,Inactive,Credit Card,2024-08-06,Delhi,4.0
C00474,65,Female,Clothing,Dress,332.79,5,No,Active,Debit Card,2025-03-16,Ahmedabad,3.7
C00416,65,Male,Clothing,Sneakers,1260.79,3,No,Inactive,UPI,2025-07-09,Ahmedabad,4.4
C01923,53,Female,Books,Comics,1788.81,4,Yes,Inactive,Wallet,2024-12-30,Pune,5.0
C01687,36,Female,Electronics,Laptop,53784.18,3,No,Active,Credit Card,2025-08-20,Mumbai,4.1
C00963,47,Female,Clothing,Dress,2283.94,1,Yes,Inactive,Debit Card,2024-12-19,Ahmedabad,3.7
C01645,40,Male,Clothing,T-Shirt,3170.52,2,No,Active,UPI,2024-03-19,Pune,3.9
C01186,45,Male,Electronics,Headphones,20536.26,2,No,Active,Net Banking,2024-03-13,Kolkata,4.0
C01846,26,Female,Beauty,Face Cream,1092.83,3,Yes,Active,Credit Card,2025-08-07,Chandigarh,3.2
C01952,50,Male,Books,Technology,1733.75,1,No,Active,Credit Card,2025-08-11,Bengaluru,4.8
C00948,53,Male,Home & Kitchen,Coffee Maker,13957.55,3,No,Active,UPI,2024-04-29,Mumbai,4.3
C01522,28,Female,Sports,Dumbbells,814.87,1,No,Inactive,Wallet,2025-01-23,Chennai,3.1
C01773,54,Male,Electronics,Smartphone,1798.91,2,Yes,Active,Wallet,2025-08-11,Mumbai,3.0
C00926,28,Male,Home & Kitchen,Coffee Maker,11736.16,3,No,Active,Wallet,2025-07-07,Mumbai,4.1
C01813,53,Male,Beauty,Shampoo,571.36,5,No,Inactive,Debit Card,2025-07-22,Kolkata,2.6
C01338,24,Male,Electronics,Speaker,12068.96,3,No,Inactive,Cash,2025-12-03,Chandigarh,3.6
C00163,20,Male,Clothing,Dress,1318.38,1,No,Inactive,Credit Card,2024-12-05,Hyderabad,4.1
C00952,50,Male,Clothing,Jeans,3964.6,1,No,Inactive,UPI,2024-05-07,Pune,4.0
C00990,41,Other,Books,Fiction,1604.78,1,No,Inactive,UPI,2025-06-13,Ahmedabad,4.2
C00095,20,Male,Clothing,Jeans,3075.61,3,Yes,Inactive,Net Banking,2025-12-18,Jaipur,5.0
C00173,57,Male,Sports,Cricket Bat,10251.41,3,No,Inactive,Cash,2025-03-16,Pune,3.6
C00431,51,Female,Home & Kitchen,Coffee Maker,2790.09,1,Yes,Active,Net Banking,2025-07-22,Kolkata,4.0
C00821,44,Female,Beauty,Shampoo,2834.79,2,No,Active,Credit Card,2024-07-12,Chennai,3.5
C00176,65,Male,Electronics,Headphones,13093.91,4,No,Inactive,UPI,2025-10-12,Pune,4.6
C01142,40,Female,Home & Kitchen,Storage Box,4732.44,1,Yes,Inactive,Credit Card,2024-02-14,Ahmedabad,2.8
C00862,51,Male,Electronics,Laptop,73381.38,4,No,Active,Wallet,2024-09-27,Jaipur,3.6
C01628,25,Female,Beauty,Shampoo,2601.31,2,Yes,Inactive,Debit Card,2025-10-31,Chennai,4.8
C01931,52,Female,Sports,Yoga Mat,11356.66,3,Yes,Active,Credit Card,2025-07-05,Chandigarh,3.1
C00225,51,Male,Electronics,Headphones,5504.22,3,No,Inactive,Debit Card,2025-06-19,Chennai,4.8
C01185,19,Male,Books,Technology,632.85,1,No,Active,UPI,2025-07-07,Delhi,4.6
C01109,32,Female,Home & Kitchen,Storage Box,1818.15,1,No,Inactive,UPI,2024-11-20,Delhi,4.0
C01987,61,Female,Clothing,T-Shirt,3215.84,1,No,Inactive,UPI,2025-02-13,Chennai,2.2
C00956,39,Female,Beauty,Face Cream,3120.52,1,No,Active,UPI,2025-01-23,Mumbai,4.3
C01242,55,Male,Electronics,Smartphone,65045.24,4,No,Active,Cash,2024-09-03,Bengaluru,4.2
C01472,51,Male,Beauty,Perfume,4636.62,2,No,Inactive,UPI,2024-03-27,Bengaluru,3.5
C00970,64,Male,Clothing,T-Shirt,2472.56,2,No,Active,Credit Card,2024-12-19,Delhi,3.9
C00477,53,Other,Clothing,Dress,3909.83,4,No,Inactive,UPI,2025-04-20,Chandigarh,3.9
C00270,56,Male,Beauty,Face Cream,4311.26,4,No,Inactive,Debit Card,2024-05-04,Chandigarh,4.3
C00787,32,Female,Sports,Football,837.09,2,Yes,Inactive,Debit Card,2025-02-06,Jaipur,4.1
C00079,32,Female,Books,Business,861.26,4,No,Active,Credit Card,2025-07-13,Chandigarh,4.8
C01218,43,Male,Home & Kitchen,Lamp,1560.73,3,No,Inactive,Cash,2024-09-17,Ahmedabad,3.8
C01997,31,Male,Clothing,Jacket,4912.76,2,Yes,Active,UPI,2024-07-11,Hyderabad,5.0
C01277,33,Male,Home & Kitchen,Cookware,7498.12,3,Yes,Active,UPI,2024-03-16,Bengaluru,2.7
C01964,55,Male,Sports,Running Shoes,6872.81,1,Yes,Inactive,Credit Card,2024-03-31,Chandigarh,3.7
C00387,47,Female,Electronics,Headphones,8209.62,2,No,Inactive,UPI,2024-06-07,Ahmedabad,5.0
C00643,65,Other,Electronics,Laptop,11555.0,1,Yes,Inactive,UPI,2025-09-16,Delhi,5.0
C01635,21,Male,Clothing,Jeans,4567.75,3,Yes,Inactive,Wallet,2024-04-13,Hyderabad,4.7
C01440,50,Male,Electronics,Smartphone,77302.74,1,No,Active,UPI,2025-04-27,Pune,3.8
C00516,65,Female,Clothing,Jacket,1367.45,4,No,Inactive,Cash,2025-06-17,Mumbai,3.4
C01731,36,Female,Clothing,Dress,2630.87,1,No,Active,Debit Card,2024-07-20,Hyderabad,3.8
C01728,53,Female,Clothing,Jeans,2655.08,1,No,Inactive,Cash,2024-10-16,Chandigarh,4.0
C01550,25,Female,Clothing,Jeans,3659.17,1,Yes,Inactive,UPI,2025-07-06,Mumbai,3.3
C00720,58,Male,Electronics,Smartphone,11013.99,2,No,Active,Credit Card,2024-11-23,Bengaluru,4.2
C01191,35,Female,Beauty,Skin Serum,2917.52,1,No,Inactive,UPI,2025-10-09,Delhi,3.4
C01406,55,Male,Electronics,Speaker,83365.21,1,Yes,Inactive,Net Banking,2025-07-10,Jaipur,3.6
C00618,58,Female,Books,Self-Help,1031.12,1,Yes,Inactive,Debit Card,2024-08-04,Mumbai,3.8
C01705,25,Female,Books,Comics,1087.48,2,No,Active,UPI,2024-07-20,Chandigarh,4.4
C00559,34,Female,Sports,Cricket Bat,8225.4,3,No,Inactive,Net Banking,2024-11-27,Mumbai,3.8
C00513,27,Male,Electronics,Headphones,66500.67,2,No,Active,Net Banking,2025-11-14,Chennai,4.3
C00293,38,Male,Clothing,T-Shirt,1202.36,1,Yes,Active,Debit Card,2024-03-19,Hyderabad,2.9
C00092,21,Female,Books,Self-Help,1776.67,2,No,Inactive,Debit Card,2025-02-01,Delhi,2.0
C01601,64,Male,Clothing,Sneakers,4048.74,1,Yes,Active,Net Banking,2025-10-14,Kolkata,4.5
C01668,45,Female,Electronics,Laptop,83000.74,1,No,Active,UPI,2024-04-30,Hyderabad,3.9
C01010,44,Male,Sports,Cricket Bat,5780.98,2,Yes,Inactive,Debit Card,2025-11-13,Chennai,5.0
C01891,41,Female,Sports,Dumbbells,3428.96,2,No,Active,Cash,2024-09-01,Pune,3.2
C00291,28,Male,Electronics,Smartwatch,18454.29,4,No,Active,Debit Card,2024-03-30,Ahmedabad,4.1
C01361,36,Male,Beauty,Lipstick,1139.74,2,No,Inactive,Cash,2024-01-22,Chennai,3.1
C01683,31,Female,Beauty,Skin Serum,4303.62,3,No,Inactive,Credit Card,2025-10-08,Delhi,5.0
C00812,40,Male,Home & Kitchen,Bedsheet,14044.97,2,Yes,Inactive,Net Banking,2024-02-15,Jaipur,3.9
C00354,55,Female,Electronics,Smartwatch,8942.42,2,Yes,Active,UPI,2025-10-12,Delhi,2.6
C00698,34,Male,Beauty,Perfume,292.03,4,Yes,Inactive,Wallet,2025-12-28,Chennai,
C01642,40,Female,Home & Kitchen,Bedsheet,14397.56,4,No,Active,UPI,2024-03-14,Kolkata,4.1
C01197,36,Female,Electronics,Laptop,73469.18,1,No,Inactive,Net Banking,2025-03-27,Chennai,4.0
C01772,53,Female,Clothing,T-Shirt,4850.12,3,No,Inactive,Wallet,2025-09-14,Hyderabad,4.3
C01843,45,Male,Clothing,Jacket,4261.93,1,No,Active,Credit Card,2025-12-06,Chennai,3.7
C00542,46,Female,Beauty,Lipstick,2031.53,1,No,Inactive,Wallet,2025-01-22,Chennai,5.0
C00130,36,Female,Clothing,Sneakers,545.28,2,Yes,Active,Credit Card,2025-01-10,Delhi,3.4
C00993,39,Female,Home & Kitchen,Bedsheet,8580.41,1,Yes,Inactive,UPI,2025-01-11,Jaipur,3.7
C01326,45,Female,Sports,Yoga Mat,9842.19,1,No,Inactive,UPI,2025-08-19,Hyderabad,3.5
C01953,21,Male,Sports,Cricket Bat,9264.38,4,No,Inactive,UPI,2024-05-16,Kolkata,4.0
C01193,43,Female,Beauty,Shampoo,2194.23,2,No,Inactive,Credit Card,2024-01-11,Hyderabad,4.1
C00401,58,Female,Beauty,Shampoo,3391.5,1,No,Active,Credit Card,2025-10-04,Ahmedabad,3.6
C00761,18,Male,Books,Self-Help,1797.37,1,No,Inactive,Credit Card,2024-05-08,Chennai,5.0
C00618,27,Male,Books,Comics,1945.11,2,No,Inactive,Debit Card,2025-03-23,Bengaluru,3.7
C00678,37,Other,Clothing,T-Shirt,3895.3,4,No,Active,Net Banking,2025-04-27,Delhi,4.2
C00443,48,Female,Clothing,T-Shirt,1156.28,1,Yes,Active,UPI,2025-04-01,Kolkata,3.7
C00741,21,Male,Clothing,Sneakers,308.76,2,No,Active,UPI,2025-10-28,Ahmedabad,3.1
C01742,36,Female,Beauty,Perfume,1248.47,1,No,Active,Credit Card,2024-03-14,Bengaluru,4.9
C00044,65,Female,Electronics,Laptop,58289.73,2,Yes,Active,Cash,2024-05-28,Hyderabad,3.2
C01180,39,Male,Beauty,Skin Serum,334.63,3,No,Inactive,Credit Card,2025-12-24,Hyderabad,4.5
C01579,38,Male,Home & Kitchen,Lamp,3454.54,2,Yes,Active,Net Banking,2025-06-12,Delhi,
C01957,55,Female,Sports,Football,958.53,1,Yes,Active,UPI,2025-11-28,Hyderabad,4.0
C01892,43,Male,Home & Kitchen,Coffee Maker,361.18,3,No,Inactive,Wallet,2024-05-08,Kolkata,3.6
C00726,64,Female,Electronics,Laptop,84937.17,4,No,Active,Net Banking,2025-12-20,Bengaluru,3.4
C01992,32,Female,Sports,Dumbbells,11901.16,2,Yes,Active,Debit Card,2025-02-10,Chandigarh,4.9
C01907,48,Male,Sports,Yoga Mat,1511.3,2,Yes,Inactive,UPI,2025-11-12,Pune,4.4
C01991,34,Male,Sports,Football,8908.63,2,No,Inactive,Credit Card,2024-02-27,Delhi,4.2
C01155,65,Female,Sports,Dumbbells,8482.3,2,No,Inactive,Debit Card,2025-07-24,Hyderabad,5.0
C00201,58,Male,Beauty,Shampoo,1880.83,1,No,Inactive,Credit Card,2025-01-13,Jaipur,3.4
C01687,51,Female,Beauty,Lipstick,1058.54,2,No,Active,Debit Card,2024-12-18,Ahmedabad,3.7
C00703,50,Female,Beauty,Perfume,1470.17,2,No,Active,Net Banking,2025-07-12,Hyderabad,4.7
C00559,61,Male,Home & Kitchen,Bedsheet,8215.09,2,No,Inactive,Credit Card,2025-11-25,Bengaluru,4.5
C00968,29,Female,Home & Kitchen,Storage Box,5082.19,1,No,Inactive,Credit Card,2025-05-03,Chandigarh,4.6
C01705,51,Female,Electronics,Headphones,18255.55,1,No,Active,UPI,2024-07-21,Chandigarh,4.6
C01659,25,Female,Clothing,Dress,1293.78,1,No,Active,Credit Card,2025-10-17,Jaipur,4.0
C01137,30,Female,Clothing,Jacket,4022.42,1,No,Inactive,Debit Card,2024-09-03,Chennai,2.8
C00661,25,Female,Clothing,T-Shirt,3204.72,1,Yes,Inactive,UPI,2025-12-12,Delhi,4.7
C00621,43,Female,Clothing,T-Shirt,2931.16,1,Yes,Active,UPI,2024-04-09,Chandigarh,4.2
C00435,46,Female,Home & Kitchen,Storage Box,6070.21,2,No,Active,Wallet,2025-08-29,Delhi,4.4
C00014,34,Male,Beauty,Perfume,2941.61,4,No,Inactive,UPI,2025-04-20,Chandigarh,4.3
C00561,55,Male,Sports,Dumbbells,5984.13,1,No,Active,Cash,2024-12-18,Mumbai,4.1
C00702,34,Female,Beauty,Shampoo,980.17,3,No,Active,UPI,2024-01-01,Chandigarh,4.6
C01460,49,Male,Home & Kitchen,Lamp,11730.16,1,No,Inactive,Wallet,2024-03-18,Bengaluru,3.2
C01615,59,Male,Books,Self-Help,1202.76,2,No,Active,Cash,2024-02-15,Chennai,4.5
C00509,40,Female,Electronics,Smartphone,77209.59,1,No,Active,Credit Card,2024-06-19,Jaipur,4.8
C01335,27,Female,Clothing,Sneakers,985.35,4,No,Inactive,UPI,2025-03-02,Chennai,3.6
C01697,39,Male,Books,Fiction,640.71,2,No,Inactive,UPI,2024-09-20,Jaipur,4.5
C00228,48,Male,Clothing,Jacket,602.53,3,No,Inactive,Credit Card,2025-01-10,Pune,4.7
C01984,40,Female,Clothing,T-Shirt,1166.47,2,No,Active,UPI,2025-12-14,Mumbai,3.8
C00673,38,Male,Home & Kitchen,Storage Box,11585.43,2,No,Inactive,Debit Card,2024-07-14,Ahmedabad,3.9
